PlaneID   Status  Request Time   Runway Time  Turnaround Time
-------------------------------------------------------
 3         L         0            2            2
 2         D         0            4            4
 5         D         2            6            4
 6         D         3            8            5
 7         D         4            10           6
 10        D         7            12           5
 11        D         8            14           6
 12        D         9            16           7
 14        D         11           18           7
 1         L         0            20           20
 4         L         1            22           21
 15        D         12           24           12
 18        D         15           26           11
 8         L         5            28           23
 19        D         16           30           14
 23        D         20           32           12
 9         L         6            34           28
 13        L         10           36           26
 16        L         13           38           25
 17        L         14           40           26
 43        E         40           42           2
 24        D         21           44           23
 20        L         17           46           29
 25        D         22           48           26
 21        L         18           50           32
 26        D         23           52           29
 22        L         19           54           35
 29        L         26           56           30
 35        L         32           58           26
 36        L         33           60           27
 38        L         35           62           27
 42        L         39           64           25
 27        D         24           66           42
 48        L         45           68           23
 51        L         48           70           22
 55        L         52           72           20
 56        L         53           74           21
 57        L         54           76           22
 58        L         55           78           23
 82        E         79           80           1
 62        L         59           82           23
 66        L         63           84           21
 28        D         25           86           61
 30        D         27           88           61
 31        D         28           90           62
 69        L         66           92           26
 70        L         67           94           27
 72        L         69           96           27
 32        D         29           98           69
 74        L         71           100          29
