Plane ID    Status    Request Time   Runway Time   Turnaround Time
------------------------------------------------------------------
 2			L			0			0				0
 3			L			1			2				1
 1			D			0			4				4
 7			L			5			6				1
 4			D			2			8				6
 10			L			8			10				2
 5			D			3			12				9
 6			D			4			14				10
 8			D			6			16				10
 9			D			7			18				11
 12			D			10			20				10
 14			D			12			22				10
 11			L			9			24				15
 16			D			14			26				12
 13			L			11			28				17
 23			D			21			30				9
 15			L			13			32				19
 17			L			15			34				19
 18			L			16			36				20
 19			L			17			38				21
 26			D			24			40				16
 42			E			40			42				2
 20			L			18			44				26
 21			L			19			46				27
 22			L			20			48				28
 27			D			25			50				25
 24			L			22			52				30
 25			L			23			54				31
 28			L			26			56				30
 33			L			31			58				27
 34			L			32			60				28
 37			L			35			62				27
 39			L			37			64				27
 29			D			27			66				39
 43			L			41			68				27
 30			D			28			70				42
 31			D			29			72				43
 45			L			43			74				31
 49			L			47			76				29
 52			L			50			78				28
 53			L			51			80				29
 82			E			80			82				2
 54			L			52			84				32
 58			L			56			86				30
