Plane ID    Status    Request Time   Runway Time   Turnaround Time
------------------------------------------------------------------
 2				L			0			0				0
 3				L			1			2				1
 5				L			2			4				2
 7				L			4			6				2
 1				D			0			8				8
 4				D			1			10				9
 9				L			11			12				1
 11				L			13			14				1
 6				D			2			16				14
 8				D			4			18				14
 10				D			11			20				9
 12				D			13			22				9
 14				D			14			24				10
 16				D			16			26				10
 18				D			19			28				9
 20				D			20			30				10
 22				D			21			32				11
 24				D			22			34				12
 26				D			23			36				13
 13				L			14			38				24
 15				L			16			40				24
 45				E			40			42				2
 17				L			19			44				25
 19				L			20			46				26
 28				D			24			48				24
 30				D			25			50				25
 21				L			21			52				31
 23				L			22			54				32
 25				L			23			56				33
 27				L			24			58				34
 29				L			25			60				35
